# BLASTP 2.6.0+
# Query: ABG11970.1 putative flavoprotein [Yersinia pestis Antiqua]
# Database: User specified sequence set (Input: proteìomes_yersia.fasta/protéomes_yersia.fasta)
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 13 hits found
ABG11970.1	ABG11970	100.000	146	0	0	1	146	1	146	4.00e-104	291
ABG11970.1	ABG12481	37.662	154	82	3	1	146	1	148	1.08e-26	95.1
ABG11970.1	ABG14832	33.333	123	79	2	6	125	66	188	2.29e-12	60.1
ABG11970.1	ABG12166	27.692	65	45	1	13	75	151	215	0.11	29.3
ABG11970.1	ABG12684	26.316	57	34	1	53	109	477	525	3.1	24.6
ABG11970.1	ABG13906	43.478	23	12	1	53	75	111	132	3.3	24.6
ABG11970.1	ABG15802	32.727	55	31	1	65	119	367	415	4.5	24.3
ABG11970.1	ABG14810	30.667	75	36	4	19	88	316	379	4.6	24.3
ABG11970.1	ABG15100	24.194	62	47	0	81	142	46	107	5.3	23.9
ABG11970.1	ABG15182	32.000	50	29	2	67	114	11	57	5.3	23.1
ABG11970.1	ABG13200	30.000	60	38	2	40	97	280	337	6.1	23.9
ABG11970.1	ABG13226	52.632	19	9	0	19	37	151	169	6.1	23.9
ABG11970.1	ABG13321	30.851	94	48	5	36	125	89	169	9.9	23.1
# BLASTP 2.6.0+
# Query: ABG11971.1 regulatory protein [Yersinia pestis Antiqua]
# Database: User specified sequence set (Input: proteìomes_yersia.fasta/protéomes_yersia.fasta)
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 9 hits found
ABG11971.1	ABG11971	100.000	153	0	0	1	153	1	153	4.19e-113	314
ABG11971.1	ABG12633	24.306	144	101	3	6	144	11	151	9.45e-11	54.3
ABG11971.1	ABG13838	22.297	148	108	3	7	153	1	142	2.65e-06	41.6
